message_id,tweet_id,conversation_id,stratum,gold_intent,gold_action,quality_of_historical_reply,confidence,ambiguous,note,guideline_version,label_date,prelabel_intent,prelabel_action,reviewed,label_source
g023,2141797,2141797,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g024,2239734,2239734,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g025,2050987,2050987,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g026,2289876,2289876,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g027,2203753,2203753,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g028,51763,51763,random,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g029,2572189,2572189,random,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g030,2803532,2803532,random,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g031,2975079,2975079,random,subscription_plan,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,escalate,false,gpt-5.4-prelabel
g032,576195,576195,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g033,2710075,2710075,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g034,963339,963339,random,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g035,2460886,2460886,random,other_unclear,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,other_unclear,escalate,false,gpt-5.4-prelabel
g036,1979565,1979565,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g037,1374253,1374253,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g038,1642881,1642881,random,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g039,718691,718691,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g040,2080271,2080271,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g041,968284,968284,random,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g042,649919,649919,random,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g043,2198210,2198210,random,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g044,1965850,1965850,random,other_unclear,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,other_unclear,escalate,false,gpt-5.4-prelabel
g045,39761,39761,random,other_unclear,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,other_unclear,escalate,false,gpt-5.4-prelabel
g046,2488831,2488831,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g047,1057921,1057921,random,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g048,800187,800187,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g049,2497533,2497533,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g050,2065260,2065260,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g051,1825251,1825251,random,library_lost,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,library_lost,auto_handle,false,gpt-5.4-prelabel
g052,374847,374847,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g053,2870602,2870602,random,non_support,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,non_support,escalate,false,gpt-5.4-prelabel
g054,2312987,2312987,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g055,2609417,2609417,random,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g056,1564283,1564283,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g057,2552657,2552657,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g058,869965,869965,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g059,2913967,2913967,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g060,1822009,1822009,random,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g061,1026787,1026787,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g062,335833,335833,random,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g063,482459,482459,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g064,560984,560984,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g065,574271,574271,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g066,620317,620317,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g067,2545910,2545910,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g068,2068335,2068335,random,non_support,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,non_support,escalate,false,gpt-5.4-prelabel
g069,355399,355399,random,non_support,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,non_support,escalate,false,gpt-5.4-prelabel
g070,1217765,1217765,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g071,827996,827996,random,other_unclear,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,other_unclear,escalate,false,gpt-5.4-prelabel
g072,1571388,1571388,random,non_support,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,non_support,escalate,false,gpt-5.4-prelabel
g073,1516290,1516290,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g074,2179639,2179639,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g075,2898330,2898330,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g076,1706427,1706427,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g077,1859361,1859361,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g078,2699824,2699824,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g079,1779834,1779834,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g080,1791090,1791090,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g081,1520722,1520722,random,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g082,1616421,1616421,random,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g083,538067,538067,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g084,631967,631967,random,other_unclear,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,other_unclear,escalate,false,gpt-5.4-prelabel
g085,38322,38322,random,subscription_plan,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,escalate,false,gpt-5.4-prelabel
g086,826539,826539,random,availability_pricing_question,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,availability_pricing_question,auto_handle,false,gpt-5.4-prelabel
g087,1797170,1797170,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g088,1265338,1265338,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g089,2560577,2560577,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g090,1751833,1751833,random,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g091,1666806,1666806,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g092,1915260,1915260,random,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g093,1805582,1805582,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g094,2944,2944,random,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g095,1677453,1677453,random,dm_followup,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,dm_followup,escalate,false,gpt-5.4-prelabel
g096,1048294,1048294,random,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g097,1421410,1421410,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g098,1391753,1391753,random,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g099,2183004,2183004,random,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g100,1862098,1862098,random,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g101,1284089,1284089,stratified,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g102,1369155,1369155,stratified,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g103,1528487,1528487,stratified,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g104,1670659,1670659,stratified,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g105,1854292,1854292,stratified,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g106,1865839,1865839,stratified,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g107,1017581,1017581,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g108,1021773,1021773,stratified,billing_payment,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,auto_handle,false,gpt-5.4-prelabel
g109,1024809,1024809,stratified,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g110,1102461,1102461,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g111,111987,111987,stratified,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g112,1162320,1162320,stratified,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g113,1403632,1403632,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g114,1879527,1879527,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g115,1880032,1880032,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g116,1926367,1926367,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g117,1952033,1952033,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g118,276223,276223,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g119,1036109,1036109,stratified,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g120,104147,104147,stratified,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g121,1367725,1367725,stratified,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g122,1531535,1531535,stratified,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g123,1780757,1780757,stratified,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g124,1850845,1850845,stratified,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g125,102221,102221,stratified,account_access,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_access,escalate,false,gpt-5.4-prelabel
g126,1048994,1048994,stratified,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g127,1388818,1388818,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g128,169711,169711,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g129,1810810,1810810,stratified,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g130,1862816,1862816,stratified,billing_payment,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,billing_payment,escalate,false,gpt-5.4-prelabel
g131,1025066,1025066,stratified,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g132,1027724,1027724,stratified,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g133,1074219,1074219,stratified,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g134,1203001,1203001,stratified,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g135,1502184,1502184,stratified,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g136,1564280,1564280,stratified,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g137,1041461,1041461,stratified,other_unclear,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,other_unclear,escalate,false,gpt-5.4-prelabel
g138,1056606,1056606,stratified,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g139,1173234,1173234,stratified,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g140,123472,123472,stratified,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g141,1435943,1435943,stratified,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g142,1488418,1488418,stratified,other_unclear,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,other_unclear,escalate,false,gpt-5.4-prelabel
g143,166614,166614,stratified,subscription_plan,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,subscription_plan,auto_handle,false,gpt-5.4-prelabel
g144,1797847,1797847,stratified,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g145,2291969,2291969,stratified,account_settings_howto,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,account_settings_howto,auto_handle,false,gpt-5.4-prelabel
g146,2312356,2312356,stratified,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g147,2513054,2513054,stratified,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g148,2562462,2562462,stratified,playback_technical,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,playback_technical,auto_handle,false,gpt-5.4-prelabel
g149,2108113,2108113,stratified,complaint_escalation,escalate,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,complaint_escalation,escalate,false,gpt-5.4-prelabel
g150,2294411,2294411,stratified,catalog_content,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,catalog_content,auto_handle,false,gpt-5.4-prelabel
g151,2349684,2349684,stratified,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
g152,2545855,2545855,stratified,feature_feedback,auto_handle,,model,unknown,,v2-prelabelled-NO-HUMAN-REVIEW,2026-09-16,feature_feedback,auto_handle,false,gpt-5.4-prelabel
